"","Age","Sex","r.HD","p.HD"
"1",0,"Female",0.003272,0.00326665284155736
"2",0,"Male",0.003662,0.00365530305523132
"3",1,"Female",0.000201,0.000200979800853318
"4",1,"Male",0.000214,0.000213977103633356
"5",2,"Female",9.4e-05,9.39955821384064e-05
"6",2,"Male",0.000202,0.000201979599373625
"7",3,"Female",9.4e-05,9.39955821384064e-05
"8",3,"Male",0.000145,0.000144989488008118
"9",4,"Female",9.1e-05,9.09958596255755e-05
"10",4,"Male",0.000163,0.000162986716221725
"11",5,"Female",5.5e-05,5.49984875277687e-05
"12",5,"Male",5.3e-05,5.29985955247669e-05
"13",6,"Female",5.5e-05,5.49984875277687e-05
"14",6,"Male",5.3e-05,5.29985955247669e-05
"15",7,"Female",6.6e-05,6.59978220479696e-05
"16",7,"Male",3.1e-05,3.09995195049151e-05
"17",8,"Female",7.7e-05,7.69970355760652e-05
"18",8,"Male",0.000116,0.000115993272260195
"19",9,"Female",7.7e-05,7.69970355760652e-05
"20",9,"Male",1.1e-05,1.09999395002669e-05
"21",10,"Female",0.000131,0.000130991419874715
"22",10,"Male",5.2e-05,5.19986480234103e-05
"23",11,"Female",7.4e-05,7.39972620675822e-05
"24",11,"Male",6.1e-05,6.099813953786e-05
"25",12,"Female",6.2e-05,6.19980780397489e-05
"26",12,"Male",0.000118,0.000117993038273867
"27",13,"Female",5e-05,4.99987500208743e-05
"28",13,"Male",4.8e-05,4.79988480184268e-05
"29",14,"Female",7e-05,6.99975500572103e-05
"30",14,"Male",0.000134,0.00013399102240097
"31",15,"Female",5.9e-05,5.89982595342597e-05
"32",15,"Male",0.000161,0.000160987040195515
"33",16,"Female",9.9e-05,9.89950996617139e-05
"34",16,"Male",0.00015,0.000149988750562491
"35",17,"Female",0.00012,0.00011999280028796
"36",17,"Male",0.000237,0.000236971917718543
"37",18,"Female",0.000212,0.000211977529587903
"38",18,"Male",0.00026,0.000259966202929118
"39",19,"Female",0.00018,0.00017998380097195
"40",19,"Male",0.000295,0.000294956491778464
"41",20,"Female",0.00026,0.000259966202929118
"42",20,"Male",0.000346,0.00034594014890299
"43",21,"Female",0.000116,0.000115993272260195
"44",21,"Male",0.000431,0.00043090713284244
"45",22,"Female",0.000199,0.000198980200813326
"46",22,"Male",0.00044,0.000439903214195736
"47",23,"Female",0.000207,0.000206978576978267
"48",23,"Male",0.000411,0.000410915551069868
"49",24,"Female",0.000212,0.000211977529587903
"50",24,"Male",0.000323,0.000322947841115973
"51",25,"Female",0.000165,0.000164986388248689
"52",25,"Male",0.000408,0.000407916779318396
"53",26,"Female",0.000241,0.000240970961832732
"54",26,"Male",0.000452,0.000451897863389172
"55",27,"Female",0.000228,0.000227974009975318
"56",27,"Male",0.000428,0.00042790842106577
"57",28,"Female",0.000399,0.000398920410085823
"58",28,"Male",0.000399,0.000398920410085823
"59",29,"Female",0.000246,0.000245969744480989
"60",29,"Male",0.000419,0.000418912231758717
"61",30,"Female",0.000352,0.000351938055268342
"62",30,"Male",0.000507,0.000506871497217842
"63",31,"Female",0.000371,0.000370931188010015
"64",31,"Male",0.000499,0.000498875520205999
"65",32,"Female",0.000376,0.000375929320858726
"66",32,"Male",0.000633,0.000632799697765973
"67",33,"Female",0.000362,0.000361934485905602
"68",33,"Male",0.000596,0.000595822427279513
"69",34,"Female",0.000365,0.000364933395603728
"70",34,"Male",0.000619,0.00061880845902329
"71",35,"Female",5e-04,0.000499875020830709
"72",35,"Male",0.00073,0.000729733614824313
"73",36,"Female",0.000501,0.000500874520455996
"74",36,"Male",0.000559,0.000558843788608709
"75",37,"Female",0.000557,0.000556844904297416
"76",37,"Male",0.000698,0.000697756454668186
"77",38,"Female",0.000526,0.000525861686252127
"78",38,"Male",0.000679,0.000678769531665568
"79",39,"Female",0.000621,0.000620807219407604
"80",39,"Male",0.000633,0.000632799697765973
"81",40,"Female",0.000747,0.000746721064959099
"82",40,"Male",0.00094,0.000939558338398094
"83",41,"Female",0.000621,0.000620807219407604
"84",41,"Male",0.000965,0.000964534537235884
"85",42,"Female",0.000765,0.000764707462101888
"86",42,"Male",0.001122,0.00112137079334529
"87",43,"Female",0.000789,0.000788688821345418
"88",43,"Male",0.001431,0.00142997660771638
